method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
audio_similarity,multimodal,none,,,,0.04669828529733674,0.0,0.0,0,2613,128,0,2741,fma_same_genre_negative,41
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,626,0,0,0,626,fma_speed_copy,41
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
early_fusion_similarity,multimodal,none,,,,0.05791505791505792,0.0,0.0,0,244,15,0,259,fma_cross_genre_negative,41
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,620,0,0,0,620,fma_dropout_copy,41
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,592,0,0,0,592,fma_lowpass_copy,41
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
early_fusion_similarity,multimodal,none,,,,0.04669828529733674,0.0,0.0,0,2613,128,0,2741,fma_same_genre_negative,41
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,626,0,0,0,626,fma_speed_copy,41
fedavg_plain,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
fedavg_plain,multimodal,none,,,,0.9382239382239382,0.0,0.0,0,16,243,0,259,fma_cross_genre_negative,41
fedavg_plain,multimodal,none,,,,0.9903225806451613,1.0,0.9903225806451613,614,0,0,6,620,fma_dropout_copy,41
fedavg_plain,multimodal,none,,,,0.972972972972973,1.0,0.972972972972973,576,0,0,16,592,fma_lowpass_copy,41
fedavg_plain,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
fedavg_plain,multimodal,none,,,,0.9211966435607443,0.0,0.0,0,216,2525,0,2741,fma_same_genre_negative,41
fedavg_plain,multimodal,none,,,,0.987220447284345,1.0,0.987220447284345,618,0,0,8,626,fma_speed_copy,41
fedprox_plain,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
fedprox_plain,multimodal,none,,,,0.9382239382239382,0.0,0.0,0,16,243,0,259,fma_cross_genre_negative,41
fedprox_plain,multimodal,none,,,,0.9903225806451613,1.0,0.9903225806451613,614,0,0,6,620,fma_dropout_copy,41
fedprox_plain,multimodal,none,,,,0.972972972972973,1.0,0.972972972972973,576,0,0,16,592,fma_lowpass_copy,41
fedprox_plain,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
fedprox_plain,multimodal,none,,,,0.9211966435607443,0.0,0.0,0,216,2525,0,2741,fma_same_genre_negative,41
fedprox_plain,multimodal,none,,,,0.987220447284345,1.0,0.987220447284345,618,0,0,8,626,fma_speed_copy,41
fedavg_secureagg,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
fedavg_secureagg,multimodal,none,,,,0.9382239382239382,0.0,0.0,0,16,243,0,259,fma_cross_genre_negative,41
fedavg_secureagg,multimodal,none,,,,0.9903225806451613,1.0,0.9903225806451613,614,0,0,6,620,fma_dropout_copy,41
fedavg_secureagg,multimodal,none,,,,0.972972972972973,1.0,0.972972972972973,576,0,0,16,592,fma_lowpass_copy,41
