method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_heagg,multimodal,none,0.9966809804974056,0.9966101406602229,0.017391304347826087,0.968609865470852,0.9779179810725552,0.9567901234567902,310,7,338,14,669,1,37
fedavg_heagg,multimodal,none,0.9991709473957995,0.9992809119230521,0.0,0.9914529914529915,0.994475138121547,0.989010989010989,360,2,336,4,702,2,37
fedavg_heagg,multimodal,none,0.9963952715629217,0.9964528941664378,0.010230179028132993,0.9287564766839378,0.8755760368663594,0.9973753280839895,380,54,337,1,772,3,37
fedavg_heagg,multimodal,none,0.9905425584868093,0.9932930838424593,0.013937282229965157,0.9686411149825784,0.9590443686006825,0.9790940766550522,281,12,275,6,574,4,37
fedavg_heagg,multimodal,none,0.9956907981967648,0.9965524375220829,0.007159904534606206,0.979706877113867,0.9746835443037974,0.9871794871794872,462,12,407,6,887,5,37
fedavg_heagg,multimodal,none,0.9969654719921267,0.9969285641767274,0.01348314606741573,0.9707943925233645,0.9595238095238096,0.9805352798053528,403,17,428,8,856,6,37
fedavg_heagg,multimodal,none,0.9931541405706333,0.9929648938075015,0.03549060542797495,0.9374348279457768,0.8888888888888888,1.0,480,60,419,0,959,7,37
fedavgft_plain,multimodal,none,0.9945234708392603,0.994198964710417,0.04054054054054054,0.9156626506024096,0.8532934131736527,1.0,285,49,247,0,581,0,37
fedavgft_plain,multimodal,none,0.9966809804974056,0.9966101406602229,0.017391304347826087,0.968609865470852,0.9779179810725552,0.9567901234567902,310,7,338,14,669,1,37
fedavgft_plain,multimodal,none,0.9991709473957995,0.9992809119230521,0.0,0.9914529914529915,0.994475138121547,0.989010989010989,360,2,336,4,702,2,37
fedavgft_plain,multimodal,none,0.9964288351424102,0.996468887542838,0.010230179028132993,0.9313471502590673,0.8796296296296297,0.9973753280839895,380,52,339,1,772,3,37
fedavgft_plain,multimodal,none,0.9905182775073147,0.9932786941855807,0.013937282229965157,0.9686411149825784,0.9590443686006825,0.9790940766550522,281,12,275,6,574,4,37
fedavgft_plain,multimodal,none,0.9956856985496604,0.9965448819366927,0.00954653937947494,0.979706877113867,0.9746835443037974,0.9871794871794872,462,12,407,6,887,5,37
fedavgft_plain,multimodal,none,0.9969654719921267,0.9969285641767274,0.01348314606741573,0.9707943925233645,0.9595238095238096,0.9805352798053528,403,17,428,8,856,6,37
fedavgft_plain,multimodal,none,0.9928888308977036,0.9926982609436934,0.037578288100208766,0.9416058394160584,0.8955223880597015,1.0,480,56,423,0,959,7,37
fedavg_plain,multimodal,none,0.9945580663615561,0.9944291701101962,0.04473684210526316,0.9090909090909091,0.8440366972477065,1.0,368,68,312,0,748,0,41
fedavg_plain,multimodal,none,0.9978382429238484,0.9977744821287124,0.004784688995215311,0.978391356542617,0.9925558312655087,0.963855421686747,400,3,415,15,833,1,41
fedavg_plain,multimodal,none,0.9989476524554776,0.9988610101656433,0.0058823529411764705,0.9790104947526237,0.9589442815249267,1.0,327,14,326,0,667,2,41
fedavg_plain,multimodal,none,0.9980796281572992,0.9982460814567873,0.005076142131979695,0.9555006180469716,0.9220489977728286,0.9975903614457832,414,35,359,1,809,3,41
fedavg_plain,multimodal,none,0.997637705362623,0.997629904416071,0.007772020725388601,0.9786381842456608,0.9727520435967303,0.9834710743801653,357,10,376,6,749,4,41
fedavg_plain,multimodal,none,0.9991750776397516,0.9992336133233268,0.0,0.9626168224299065,0.9352941176470588,0.99375,318,22,300,2,642,5,41
fedavg_plain,multimodal,none,0.9957322551662173,0.9961542867745865,0.029649595687331536,0.9525032092426188,0.9264367816091954,0.9877450980392157,403,32,339,5,779,6,41
fedavg_plain,multimodal,none,0.9948117502142245,0.9946626793744529,0.028277634961439587,0.9366106080206986,0.888631090487239,0.9973958333333334,383,48,341,1,773,7,41
fedprox_plain,multimodal,none,0.9945723684210526,0.9944436812641297,0.04473684210526316,0.9090909090909091,0.8440366972477065,1.0,368,68,312,0,748,0,41
fedprox_plain,multimodal,none,0.9978382429238484,0.9977744821287124,0.004784688995215311,0.978391356542617,0.9925558312655087,0.963855421686747,400,3,415,15,833,1,41
fedprox_plain,multimodal,none,0.9989476524554776,0.9988610101656433,0.0058823529411764705,0.9790104947526237,0.9589442815249267,1.0,327,14,326,0,667,2,41
