round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
18,fedavgft_base,plain,0.16080962844876384,plain,2.8382055461406708e-06,1.7255079001188278e-05,1344,1344,1.0,31
19,fedavgft_base,plain,0.15874757927059352,plain,2.750195562839508e-06,1.71000137925148e-05,1344,1344,1.0,31
20,fedavgft_base,plain,0.15683158422276866,plain,2.8437934815883636e-06,1.7776619642972946e-05,1344,1344,1.0,31
21,fedavgft_base,plain,0.15504674958269482,plain,2.6863999664783478e-06,1.6475096344947815e-05,1344,1344,1.0,31
22,fedavgft_base,plain,0.15338014900463012,plain,2.55415216088295e-06,1.6637146472930908e-05,1344,1344,1.0,31
23,fedavgft_base,plain,0.15182049652833451,plain,2.5830231606960297e-06,1.623108983039856e-05,1344,1344,1.0,31
24,fedavgft_base,plain,0.15035788752466595,plain,2.4498440325260162e-06,1.639779657125473e-05,1344,1344,1.0,31
25,fedavgft_base,plain,0.14898359031934943,plain,2.670101821422577e-06,1.665297895669937e-05,1344,1344,1.0,31
26,fedavgft_base,plain,0.14768987636653602,plain,2.8330832719802856e-06,2.09868885576725e-05,1344,1344,1.0,31
27,fedavgft_base,plain,0.14646988027011362,plain,2.8209760785102844e-06,1.5906989574432373e-05,1344,1344,1.0,31
28,fedavgft_base,plain,0.1453174832847723,plain,2.6188790798187256e-06,2.1883752197027206e-05,1344,1344,1.0,31
29,fedavgft_base,plain,0.14422721554947476,plain,2.5513581931591034e-06,1.6203150153160095e-05,1344,1344,1.0,31
30,fedavgft_base,plain,0.14319417345232932,plain,2.8419308364391327e-06,1.633400097489357e-05,1344,1344,1.0,31
1,fedavg,plain,0.33472321369560576,plain,3.919005393981934e-06,2.2619962692260742e-05,1344,1344,1.0,37
2,fedavg,plain,0.2744772891158551,plain,4.362314939498901e-06,2.231122925877571e-05,1344,1344,1.0,37
3,fedavg,plain,0.24686038638008406,plain,3.168359398841858e-06,1.9027385860681534e-05,1344,1344,1.0,37
4,fedavg,plain,0.22982611700131453,plain,3.4547410905361176e-06,1.8835999071598053e-05,1344,1344,1.0,37
5,fedavg,plain,0.21767302999461016,plain,3.5888515412807465e-06,1.771608367562294e-05,1344,1344,1.0,37
6,fedavg,plain,0.2082501125355786,plain,2.966262400150299e-06,1.812586560845375e-05,1344,1344,1.0,37
7,fedavg,plain,0.2005585111186402,plain,2.5168992578983307e-06,1.6315840184688568e-05,1344,1344,1.0,37
8,fedavg,plain,0.19406560850119786,plain,2.425163984298706e-06,1.6466248780488968e-05,1344,1344,1.0,37
9,fedavg,plain,0.188457133278769,plain,2.9872171580791473e-06,1.6496051102876663e-05,1344,1344,1.0,37
10,fedavg,plain,0.18353253027926908,plain,2.907123416662216e-06,1.610768958926201e-05,1344,1344,1.0,37
11,fedavg,plain,0.17915555114782722,plain,3.179069608449936e-06,1.6104895621538162e-05,1344,1344,1.0,37
12,fedavg,plain,0.17522882522039132,plain,2.945307642221451e-06,1.6056932508945465e-05,1344,1344,1.0,37
13,fedavg,plain,0.17167983865712622,plain,2.9159709811210632e-06,1.726904883980751e-05,1344,1344,1.0,37
14,fedavg,plain,0.1684527488001034,plain,3.432389348745346e-06,1.7556827515363693e-05,1344,1344,1.0,37
15,fedavg,plain,0.16550336580002678,plain,3.253575414419174e-06,1.8103979527950287e-05,1344,1344,1.0,37
16,fedavg,plain,0.16279594148612225,plain,2.9476359486579895e-06,1.7227139323949814e-05,1344,1344,1.0,37
